title,combined_text,release_year,voting
The Innkeepers,"Horror Thrillerantiterror terror beer supernatural towel inn phone whispering casaencantada mumblegoreD u r i n g   t h e   f i n a l   d a y s   a t   t h e   Y a n k e e   P e d l a r   I n n ,   t w o   e m p l o y e e s   d e t e r m i n e d   t o   r e v e a l   t h e   h o t e l ' s   h a u n t e d   p a s t   b e g i n   t o   e x p e r i e n c e   d i s t u r b i n g   e v e n t s   a s   o l d   g u e s t s   c h e c k   i n   f o r   a   s t a y . 2011",2011,5.4
Donkey Punch,"Horror Drama Thriller CrimeT h r e e   h o t   g i r l s ,   f o u r   g u y s ,   a n d   o n e   m e g a - s w a n k y   y a c h t   c o l l i d e   f o r   a   s e r i o u s   n i g h t   o f   d r u g s   a n d   s e x u a l   d e v i a n c y .   O n e   d e b a u c h e r o u s   a c t   g o e s   t o o   f a r   t h o u g h ,   t u r n i n g   t h i s   t e e n   j o y   r i d e   i n t o   a   w e e k e n d   o f   b l o o d y   b e d l a m . 2008",2008,4.5
All the Boys Love Mandy Lane,"Horror Mystery Thrillersuicideattempt gun texas massmurder farmworker plannedmurder beauty dyinganddeath fraud plan surprise farm victimofmurder conspiracyofmurder highschool murder youth beautifulgirl femalecorpseB e a u t i f u l   M a n d y   L a n e   i s n ' t   a   p a r t y   g i r l   b u t ,   w h e n   c l a s s m a t e   C h l o e   i n v i t e s   t h e   T e x a s   h i g h   s c h o o l   s t u d e n t   t o   a   b a s h   i n   t h e   c o u n t r y s i d e ,   s h e   r e l u c t a n t l y   a c c e p t s .   A f t e r   h i t c h i n g   a   r i d e   w i t h   a   v a g u e l y   s c a r y   o l d e r   m a n ,   t h e   t e e n s   a r r i v e   a t   t h e i r   d e s t i n a t i o n .   P a r t y i n g   e n s u e s ,   a n d   M a n d y ' s   c l o s e   p a l ,   E m m e t ,   k e e p s   a   w a t c h f u l   e y e   o n   t h e   y o u n g   m a l e s   m a k i n g   a   p l a y   f o r   M a n d y .   T h e n   t w o   o f   t h e   s t u d e n t s   a r e   m u r d e r e d . 2008",2008,5.7
L.I.E.,"DramaindependentfilmI n   t h i s   b i t i n g   a n d   d i s t u r b i n g   c o m i n g - o f - a g e   t a l e   f r o m   w r i t e r - d i r e c t o r   M i c h a e l   C u e s t a ,   l i f e   i s   b i t t e r s w e e t   a l o n g   t h e   L . I . E . ,   a l s o   k n o w n   a s   t h e   L o n g   I s l a n d   E x p r e s s w a y ,   a s   s u b u r b a n   t e e n   H o w i e   B l i t z e r   l e a r n s   a l l   t o o   c l e a r l y .   I n   t h e   s p a c e   o f   a   w e e k ,   h e   l o s e s   n e a r l y   e v e r y t h i n g   a n d   e v e r y o n e   h e   k n o w s   a n d   i s   l e f t   t o   n a v i g a t e   h i s   a d o l e s c e n c e   v i r t u a l l y   u n s u p e r v i s e d . 2001",2001,6.7
The Sisterhood of Night,"Mystery Drama Thrillerwitch womandirectorW h e n   a   t e e n a g e   g i r l   s a y s   s h e ' s   t h e   v i c t i m   o f   a   s e c r e t   n e t w o r k   c a l l e d   T h e   S i s t e r h o o d   o f   N i g h t ,   a   q u i e t   s u b u r b a n   t o w n   b e c o m e s   t h e   b a c k d r o p   f o r   a   m o d e r n - d a y   S a l e m   w i t c h   t r i a l . 2015",2015,6.5
Half Nelson,"Dramadate ex-girlfriend bicycle crack independentfilmD e s p i t e   h i s   d e d i c a t i o n   t o   t h e   j u n i o r - h i g h   s t u d e n t s   w h o   f i l l   h i s   c l a s s r o o m ,   i d e a l i s t i c   t e a c h e r   D a n   D u n n e   l e a d s   a   s e c r e t   l i f e   o f   a d d i c t i o n   t h a t   t h e   m a j o r i t y   o f   h i s   s t u d e n t s   w i l l   n e v e r   k n o w .   B u t   t h i n g s   c h a n g e   w h e n   a   t r o u b l e d   s t u d e n t   D r e y   m a k e s   a   s t a r t l i n g   d i s c o v e r y   o f   h i s   s e c r e t   l i f e ,   c a u s i n g   a   t e n u o u s   b o n d   b e t w e e n   t h e   t w o   t h a t   c o u l d   e i t h e r   e n d   d i s a s t r o u s l y   o r   p r o v i d e   a   c a t a l y s t   o f   h o p e . 2006",2006,6.5
Naturally Native,"Dramanativeamerican racism family womandirectorN a t u r a l l y   N a t i v e   f o l l o w s   t h e   l i v e s ,   l o v e s ,   p a i n ,   j o y   a n d   r e l a t i o n s h i p s   o f   t h r e e   s i s t e r s   a s   t h e y   a t t e m p t   t o   s t a r t   t h e i r   o w n   b u s i n e s s .   O f   A m e r i c a n   I n d i a n   a n c e s t r y ,   b u t   a d o p t e d   b y   w h i t e   f o s t e r   p a r e n t s   a s   y o u n g   c h i l d r e n ,   e a c h   s i s t e r   h a s   h e r   o w n   i d e n t i t y   i s s u e s   a n d   e a c h   h a s   c h o s e n   a   v e r y   d i f f e r e n t   c a r e e r   p a t h .   N o w   d e d i c a t e d   t o   s t a r t i n g   a   N a t i v e   c o s m e t i c   b u s i n e s s ,   t h e y   a t t e m p t   t o   o v e r c o m e   o b s t a c l e s   b o t h   i n   t h e   b u s i n e s s   w o r l d   a n d   i n   t h e   h o m e .   A   t o u c h i n g   l o v e   s t o r y   o f   f a m i l y   a n d   c u l t u r e ,   N a t u r a l l y   N a t i v e   a l s o   i n t e r w e a v e s   a   s u b t l e ,   b u t   s t r o n g   w a k e - u p   c a l l   r e g a r d i n g   t h e   t r e a t m e n t   o f   N a t i v e   p e o p l e   i n   c o r p o r a t e   A m e r i c a .   N a t u r a l l y   N a t i v e   a l s o   p r o v i d e s   s o m e   i n s i g h t   i n t o   t r i b a l   i n f r a s t r u c t u r e   a n d   g a m i n g   i s s u e s . 1999",1999,0.0
The Blair Witch Project,"Horror Mysterywitch voodoo legend sorcery maryland forest footage horror true student lost foundfootage filmI n   O c t o b e r   o f   1 9 9 4   t h r e e   s t u d e n t   f i l m m a k e r s   d i s a p p e a r e d   i n   t h e   w o o d s   n e a r   B u r k i t t s v i l l e ,   M a r y l a n d ,   w h i l e   s h o o t i n g   a   d o c u m e n t a r y .   A   y e a r   l a t e r   t h e i r   f o o t a g e   w a s   f o u n d . 1999",1999,6.3
A Hard Day's Night,"Comedy Musicadolescence cultureclash pressconference behindthescenes policechase mockumentary oldermanyoungerwomanrelationship shaving thebeatlessong railwaystation performer psychotronic generationgap televisiondirectorC a p t u r i n g   J o h n   L e n n o n ,   P a u l   M c C a r t n e y ,   G e o r g e   H a r r i s o n   a n d   R i n g o   S t a r r   i n   t h e i r   e l e c t r i f y i n g   e l e m e n t ,   ' A   H a r d   D a y ' s   N i g h t '   i s   a   w i l d l y   i r r e v e r e n t   j o u r n e y   t h r o u g h   t h i s   p a s t i c h e   o f   a   d a y   i n   t h e   l i f e   o f   T h e   B e a t l e s   d u r i n g   1 9 6 4 .   T h e   b a n d   h a v e   t o   u s e   a l l   t h e i r   g u i l e   a n d   w i t   t o   a v o i d   t h e   p u r s u i n g   f a n s   a n d   p r e s s   t o   r e a c h   t h e i r   s c h e d u l e d   t e l e v i s i o n   p e r f o r m a n c e ,   i n   s p i t e   o f   P a u l ' s   t r o u b l e m a k i n g   g r a n d f a t h e r   a n d   R i n g o ' s   a r r e s t . 1964",1964,7.3
Fireproof,"Dramafathersonrelationship fire firemen christian advice marriage faith christianfilm dysfunctionalmarriage religiousconversion hospitalI n   A l b a n y ,   t h e   m a r r i a g e   o f   C a l e b   e n d   C a t h e r i n e   H o l t   i s   i n   c r i s i s   a n d   t h e y   d e c i d e   t o   d i v o r c e .   H o w e v e r ,   C a l e b ' s   f a t h e r ,   J o h n ,   p r o p o s e s   t h a t   h i s   s o n   d e l a y s   t h e i r   s e p a r a t i o n   p r o c e s s   f o r   f o r t y   d a y s   a n d   f o l l o w   a   p r o c e d u r e   c a l l e d   "" T h e   L o v e   D a r e ""   t o   m a k e   t h e m   l o v e   e a c h   o t h e r   a g a i n . 2008",2008,7.0
High Road,"ComedyD i r e c t e d   b y   M a t t   W a l s h ,   a   c o - f o u n d i n g   m e m b e r   o f   w o r l d - r e n o w n e d   c o m e d y   t r o u p e   U p r i g h t   C i t i z e n s   B r i g a d e ,   H i g h   R o a d   s h o w c a s e s   a   t o t a l l y   i m p r o v i s e d   s c r i p t   a b o u t   G l e n n   “ F i t z ”   F i t z g e r a l d   ( J a m e s   P u m p h r e y ) ,   a   y o u n g   m a n   w h o s e   l o y a l t i e s   a r e   s p l i t   a m o n g   h i s   b a n d ,   h i s   g i r l f r i e n d   M o n i c a ( A b b y   E l l i o t t t )   a n d   s e l l i n g   d r u g s .   A f t e r   h i s   b a n d   b r e a k s   u p ,   F i t z   f i n d s   h i m s e l f   d e a l i n g   d r u g s   o u t   o f   h i s   g a r a g e   a n d   b o n d i n g   w i t h   1 6 - y e a r - o l d   n e i g h b o r h o o d   k i d   J i m m y   ( D y l a n   O ’ B r i e n ) .   A s   h i s   f o r m e r   b a n d   m a t e s   ( Z a c h   W o o d s ,   M a t t   L .   J o n e s ,   L i z z y   C a p l a n )   b e g i n   f i n d i n g   s u c c e s s   a n d   o n e   o f   h i s   d r u g   d e a l s   g o e s   a w r y ,   F i t z   h i t s   t h e   r o a d   w i t h   J i m m y .   A m i d   c a r   c h a s e s ,   g u n s ,   b r o k e n   b o n e s ,   s a s s y   c a b b i e s   a n d   a   s u s p i c i o u s   d o c t o r   ( H o r a t i o   S a n z ) ,   F i t z   h a s   t o   n a v i g a t e   t h e i r   w a y   t o   s a f e   h a r b o r - - a n d   h e   d o e s n ’ t   e v e n   k n o w   a b o u t   t h e   s u r p r i s e   M o n i c a   h a s   i n   s t o r e   f o r   h i m   b a c k   h o m e ! 2012",2012,5.8
To Save A Life,"Dramachristian independentfilmJ a k e   T a y l o r   h a s   e v e r y t h i n g .   H e   h a s   a   b e a u t i f u l   g i r l ,   h e ' s   t h e   c h a m p i o n   i n   b a s k e t b a l l   a n d   b e e r   p o n g ,   a n d   e v e r y o n e   l o v e s   h i m .   T h e n ,   a n   o l d   c h i l d h o o d   f r i e n d ,   w h o m   J a k e   u s e d   t o   b e   f r i e n d s   w i t h ,   c o m m i t s   s u i c i d e .   J a k e   b e g i n s   t o   t h i n k .   H e   w o n d e r s   w h a t   h e   c o u l d ' v e   d o n e   t o   s a v e   h i s   f r i e n d ' s   l i f e .   A   y o u t h   m i n i s t e r   t e l l s   h i m   t h a t   J a k e   n e e d s   G o d .   S o   J a k e   b e c o m e s   a   C h r i s t i a n .   H o w e v e r ,   t h i n g s   b e g i n   t o   s p i n   o u t   o f   c o n t r o l .   H i s   d a d   i s   c h e a t i n g   o n   h i s   m o m ,   h i s   g i r l f r i e n d   i s   p r e g n a n t ,   a n d   h i s   f o r m e r   f r i e n d s   r i d i c u l e   a n d   m o c k   h i m .   D u r i n g   a l l   t h i s ,   J a k e   i s   g o i n g   t o   r e a l i z e   j u s t   w h a t   i t   m e a n s   t o   b e   a   C h r i s t i a n   a n d   h o w ,   t o   s a v e   a   l i f e . 2009",2009,6.2
Sholem Aleichem: Laughing In The Darkness,"DocumentaryA   r i v e t i n g   p o r t r a i t   o f   t h e   g r e a t   w r i t e r   w h o s e   s t o r i e s   b e c a m e   t h e   b a s i s   o f   t h e   B r o a d w a y   m u s i c a l   F i d d l e r   o n   t h e   R o o f .   S h o l e m   A l e i c h e m :   L a u g h i n g   i n   t h e   D a r k n e s s   t e l l s   t h e   t a l e   o f   t h e   r e b e l l i o u s   g e n i u s   w h o   c r e a t e d   a n   e n t i r e l y   n e w   l i t e r a t u r e .   P l u m b i n g   t h e   d e p t h s   o f   a   J e w i s h   w o r l d   l o c k e d   i n   c r i s i s   a n d   o n   t h e   c u s p   o f   p r o f o u n d   c h a n g e ,   h e   c a p t u r e d   t h a t   w o r l d   w i t h   b r i l l i a n t   h u m o r .   S h o l e m   A l e i c h e m   w a s   n o t   j u s t   a   w i t n e s s   t o   t h e   c r e a t i o n   o f   a   n e w   m o d e r n   J e w i s h   i d e n t i t y ,   b u t   o n e   o f   t h e   v e r y   m e n   w h o   f o r g e d   i t . 2012",2012,7.0
The R.M.,"Comedy Crime FamilyJ a r e d   P h e l p s   ( K i r b y   H e y b o r n e )   h a s   c o m p l e t e d   t w o   y e a r s   o f   f u l l - t i m e   m i s s i o n a r y   s e r v i c e   f o r   T h e   C h u r c h   o f   J e s u s   C h r i s t   o f   L a t t e r - d a y   S a i n t s .   H i s   m i s s i o n   p r e s i d e n t   h a s   p r o m i s e d   h i m   t h a t   h e   w i l l   b e   b l e s s e d   f o r   h i s   s e r v i c e ,   a n d   h e   t h i n k s   h e   h a s   i t   a l l   w o r k e d   o u t .   H i s   g i r l f r i e n d   h a s   w a i t e d   f o r   h i m .   H i s   b o s s   p r o m i s e d   t h a t   h e   c o u l d   h a v e   h i s   o l d   j o b   b a c k ,   a n d   h e   h a s   a l r e a d y   s e n t   h i s   a p p l i c a t i o n   t o   B Y U .   E v e r y t h i n g   t h a t   c a n   g o   w r o n g   d o e s   g o   w r o n g .   H i s   g i r l f r i e n d   d u m p s   h i m .   H i s   l o s e s   h i s   j o b ,   a n d   h e   i s n ' t   a c c e p t e d   t o   B Y U .   T h e n ,   i t   g e t s   e v e n   w o r s e ,   a n d   h e   h a s   t o   d e c i d e   i f   c h o o s i n g   t h e   r i g h t   i s   w o r t h   a l l   t h e   t r o u b l e . 2003",2003,4.8
Mean Creek,"Crime Dramasuicide alcohol secret birthday lake oregon brother party love friends prank bully drug gayman naked invite dareT e e n a g e r s   l i v i n g   i n   s m a l l - t o w n   O r e g o n   t a k e   a   b o a t   t r i p   f o r   a   b i r t h d a y   c e l e b r a t i o n .   W h e n   t h e y   g e t   a n   i d e a   t o   p l a y   a   m e a n   t r i c k   o n   t h e   t o w n   b u l l y ,   i t   s u d d e n l y   g o e s   t o o   f a r .   S o o n   t h e y ' r e   f o r c e d   t o   d e a l   w i t h   t h e   u n e x p e c t e d   c o n s e q u e n c e s   o f   t h e i r   a c t i o n s . 2004",2004,6.9
Drinking Buddies,"Romance Dramamalefemalerelationship co-worker relationship mumblecoreW e e k e n d   t r i p s ,   o f f i c e   p a r t i e s ,   l a t e   n i g h t   c o n v e r s a t i o n s ,   d r i n k i n g   o n   t h e   j o b ,   m a r r i a g e   p r e s s u r e ,   b i o l o g i c a l   c l o c k s ,   h o l d i n g   e y e   c o n t a c t   a   s e c o n d   t o o   l o n g …   y o u   k n o w   w h a t   m a k e s   t h e   l i n e   b e t w e e n   “ f r i e n d s ”   a n d   “ m o r e   t h a n   f r i e n d s ”   r e a l l y   b l u r r y ?   B e e r . 2013",2013,6.0
Rubber,"Comedy Drama Fantasy Horror Mysteryexplodingbuilding duringcreditsstingerI n   t h e   C a l i f o r n i a   d e s e r t ,   t h e   a d v e n t u r e s   o f   a   t e l e p a t h i c   k i l l e r - t i r e ,   m y s t e r i o u s l y   a t t r a c t e d   b y   a   v e r y   p r e t t y   g i r l ,   a s   w i t n e s s e d   b y   i n c r e d u l o u s   o n l o o k e r s . 2010",2010,5.7
Monsters,"Drama Thriller ScienceFictionmonster pyramid radio dystopia infection forest low-budget alien alieninvasion centralamerica vigil cattle deadfishS i x   y e a r s   a g o   N A S A   d i s c o v e r e d   t h e   p o s s i b i l i t y   o f   a l i e n   l i f e   w i t h i n   o u r   s o l a r   s y s t e m .   A   p r o b e   w a s   l a u n c h e d   t o   c o l l e c t   s a m p l e s ,   b u t   c r a s h e d   u p o n   r e - e n t r y   o v e r   C e n t r a l   A m e r i c a .   S o o n   a f t e r ,   n e w   l i f e   f o r m s   b e g a n   t o   a p p e a r   a n d   h a l f   o f   M e x i c o   w a s   q u a r a n t i n e d   a s   a n   i n f e c t e d   z o n e .   T o d a y ,   t h e   A m e r i c a n   a n d   M e x i c a n   m i l i t a r y   s t i l l   s t r u g g l e   t o   c o n t a i n   "" t h e   c r e a t u r e s , ""   w h i l e   a   j o u r n a l i s t   a g r e e s   t o   e s c o r t   a   s h a k e n   t o u r i s t   t h r o u g h   t h e   i n f e c t e d   z o n e   i n   M e x i c o   t o   t h e   s a f e t y   o f   t h e   U . S .   b o r d e r . 2010",2010,6.2
Detention of the Dead,Comedy Horrorhighschool independentfilm zombie extremeviolenceA   g r o u p   o f   o d d b a l l   h i g h   s c h o o l   s t u d e n t s   f i n d   t h e m s e l v e s   t r a p p e d   i n   d e t e n t i o n   w i t h   t h e i r   c l a s s m a t e s   h a v i n g   t u r n e d   i n t o   a   h o r d e   o f   Z o m b i e s . 2012,2012,4.5
Alleluia! The Devil's Carnival,Music Horrorcarnival musical sequel devil darkcarnivalT h e   D e v i l ' s   C a r n i v a l :   A l l e l u i a !   i s   t h e   s e c o n d   e p i s o d e   o f   T h e   D e v i l ' s   C a r n i v a l .   T h e   e p i s o d e   w i l l   r e v o l v e   a r o u n d   t h e   w a r   b e t w e e n   H e l l   a n d   H e a v e n . 2016,2016,6.0
The Sound and the Shadow,"Thriller Comedy MysteryA n   a l l e r g y - r i d d e n ,   e a v e s d r o p p i n g   s o u n d   e n g i n e e r   a n d   h i s   b o i s t e r o u s   n e w   r o o m m a t e   a r e   t h r u s t   i n t o   a   m i s s i n g   g i r l   c a s e   w h e n   h e   d i s c o v e r s   c l u e s   t o   h e r   d i s a p p e a r a n c e   i n   h i s   n e i g h b o r h o o d   r e c o r d i n g s . 2014",2014,0.0
Mutual Friends,"S u r p r i s e   p a r t i e s   r a r e l y   g o   w e l l .   T h i s   o n e   i s   n o   d i f f e r e n t ,   a s   a   g r o u p   o f   3 0 - s o m e t h i n g s   h e a d   t h r o u g h   l i f e ,   l o v e   a n d   a   d a y   i n   N e w   Y o r k   C i t y . 2014",2014,0.0
Blue Ruin,Crime Thrillerrevenge drifter virginia characterstudy neo-noir visualstorytelling mumblegoreT h e   q u i e t   l i f e   o f   a   b e a c h   b u m   i s   u p e n d e d   b y   d r e a d f u l   n e w s .   H e   s e t s   o f f   f o r   h i s   c h i l d h o o d   h o m e   t o   c a r r y   o u t   a n   a c t   o f   v e n g e a n c e   b u t   p r o v e s   a n   i n e p t   a s s a s s i n   a n d   f i n d s   h i m s e l f   i n   a   b r u t a l   f i g h t   t o   p r o t e c t   h i s   e s t r a n g e d   f a m i l y . 2014,2014,6.9
Paranormal Activity,"Horror Mysteryhaunting psychic entity demonicpossession foundfootageA f t e r   a   y o u n g ,   m i d d l e   c l a s s   c o u p l e   m o v e s   i n t o   a   s u b u r b a n   ' s t a r t e r '   t r a c t   h o u s e ,   t h e y   b e c o m e   i n c r e a s i n g l y   d i s t u r b e d   b y   a   p r e s e n c e   t h a t   m a y   o r   m a y   n o t   b e   s o m e h o w   d e m o n i c   b u t   i s   c e r t a i n l y   m o s t   a c t i v e   i n   t h e   m i d d l e   o f   t h e   n i g h t .   E s p e c i a l l y   w h e n   t h e y   s l e e p .   O r   t r y   t o . 2007",2007,5.9
Monty Python and the Holy Grail,"Adventure Comedy Fantasyholygrail monk scotlandyard swordplay camelot roundtable chapter aggressionbyanimal knight kingarthur weddingreception midnightmovie montypython knightsoftheroundtable anarchiccomedyK i n g   A r t h u r ,   a c c o m p a n i e d   b y   h i s   s q u i r e ,   r e c r u i t s   h i s   K n i g h t s   o f   t h e   R o u n d   T a b l e ,   i n c l u d i n g   S i r   B e d e v e r e   t h e   W i s e ,   S i r   L a n c e l o t   t h e   B r a v e ,   S i r   R o b i n   t h e   N o t - Q u i t e - S o - B r a v e - A s - S i r - L a n c e l o t   a n d   S i r   G a l a h a d   t h e   P u r e .   O n   t h e   w a y ,   A r t h u r   b a t t l e s   t h e   B l a c k   K n i g h t   w h o ,   d e s p i t e   h a v i n g   h a d   a l l   h i s   l i m b s   c h o p p e d   o f f ,   i n s i s t s   h e   c a n   s t i l l   f i g h t .   T h e y   r e a c h   C a m e l o t ,   b u t   A r t h u r   d e c i d e s   n o t     t o   e n t e r ,   a s   "" i t   i s   a   s i l l y   p l a c e "" . 1975",1975,7.8
I Want Your Money,"DocumentaryT w o   v e r s i o n s   o f   t h e   A m e r i c a n   d r e a m   n o w   s t a n d   i n   s h a r p   c o n t r a s t .   O n e   v i e w s   t h e   m o n e y   y o u   e a r n e d   a s   y o u r s   a n d   b e s t   a l l o c a t e d   b y   y o u ;   t h e   o t h e r   b e l i e v e s   t h a t   a n   e l i t e   i n   W a s h i n g t o n   k n o w s   b e s t   h o w   t o   a l l o c a t e   y o u r   w e a l t h .   O n e   c h a m p i o n s   t h e   t r a d i t i o n a l   A m e r i c a n   d r e a m ,   w h i c h   h a s   p l a y e d   o u t   m i l l i o n s   o f   t i m e s   t h r o u g h   g e n e r a t i o n s   o f   A m e r i c a n s ,   o f   i m p r o v i n g   o n e ' s   l o t   i n   l i f e   a n d   e v e n   d a r i n g   t o   d r e a m   a n d   b u i l d   b i g .   T h e   o t h e r   h o l d s   t h a t   t h e r e   i s   n o   e n d   t o   t h e   "" g o o d ""   t h e   g o v e r n m e n t   c a n   d o   b y   t a k i n g   a n d   s p e n d i n g   o t h e r   p e o p l e s '   m o n e y   i n   a n   e v e r - b u r g e o n i n g   l i s t   o f   p r o g r a m s .   T h e   d o c u m e n t a r y   f i l m   I   W a n t   Y o u r   M o n e y   e x p o s e s   t h e   h i g h   c o s t   i n   l o s t   f r e e d o m   a n d   i n   l o s t   o p p o r t u n i t y   t o   s u p p o r t   a   L e v i a t h a n - l i k e   b u r e a u c r a t i c   s t a t e . 2010",2010,3.8
Censored Voices,"History DocumentarywomandirectorT h e   1 9 6 7   ' S i x - D a y '   w a r   e n d e d   w i t h   I s r a e l ' s   d e c i s i v e   v i c t o r y ;   c o n q u e r i n g   J e r u s a l e m ,   G a z a ,   S i n a i   a n d   t h e   W e s t   B a n k .   I t   i s   a   w a r   p o r t r a y e d ,   t o   t h i s   d a y ,   a s   a   r i g h t e o u s   u n d e r t a k i n g   -   a   r a d i a n t   e m b l e m   o f   J e w i s h   p r i d e .   O n e   w e e k   a f t e r   t h e   w a r ,   a   g r o u p   o f   y o u n g   k i b b u t z n i k s ,   l e d   b y   r e n o w n e d   a u t h o r   A m o s   O z ,   r e c o r d e d   i n t i m a t e   c o n v e r s a t i o n s   w i t h   s o l d i e r s   r e t u r n i n g   f r o m   t h e   b a t t l e f i e l d .   T h e   r e c o r d i n g   r e v e a l e d   a n   h o n e s t   l o o k   a t   t h e   m o m e n t   I s r a e l   t u r n e d   f r o m   D a v i d   t o   G o l i a t h .   T h e   I s r a e l i   a r m y   c e n s o r e d   t h e   r e c o r d i n g s ,   a l l o w i n g   t h e   k i b b u t z n i k s   t o   p u b l i s h   o n l y   a   f r a g m e n t   o f   t h e   c o n v e r s a t i o n s .   ' C e n s o r e d   V o i c e s '   r e v e a l s   t h e   o r i g i n a l   r e c o r d i n g s   f o r   t h e   f i r s t   t i m e . 2015",2015,5.1
51 Birch Street,"DocumentaryD o c u m e n t a r y   f i l m m a k e r   D o u g   B l o c k   h a d   e v e r y   r e a s o n   t o   b e l i e v e   h i s   p a r e n t s '   5 4 - y e a r   m a r r i a g e   w a s   a   g o o d   o n e .   B u t   w h e n   h i s   m o t h e r   d i e s   u n e x p e c t e d l y   a n d   h i s   f a t h e r   s w i f t l y   m a r r i e s   h i s   f o r m e r   s e c r e t a r y ,   h e   d i s c o v e r s   t w o   p a r e n t s   w h o   a r e   f a r   m o r e   c o m p l e x   a n d   t r o u b l e d   t h a n   h e   e v e r   i m a g i n e d .   5 1   B i r c h   S t r e e t   i s   a   r i v e t i n g   p e r s o n a l   d o c u m e n t a r y   t h a t   e x p l o r e s   a   u n i v e r s a l   h u m a n   q u e s t i o n :   h o w   m u c h   a b o u t   y o u r   p a r e n t s   d o   y o u   r e a l l y   w a n t   t o   k n o w ? 2006",2006,6.8
Dogtooth,"Dramamalenudity femalenudity hostage paranoia dysfunctionalfamily unsimulatedsex incest lesbiansex mentalillness explicitsex sexualawakening fantasyworld isolatedhouse brothersisterincest homeeducation sistersisterincestT h r e e   t e e n a g e r s   a r e   c o n f i n e d   t o   a n   i s o l a t e d   c o u n t r y   e s t a t e   t h a t   c o u l d   v e r y   w e l l   b e   o n   a n o t h e r   p l a n e t .   T h e   t r i o   s p e n d   t h e i r   d a y s   l i s t e n i n g   t o   e n d l e s s   h o m e m a d e   t a p e s   t h a t   t e a c h   t h e m   a   w h o l e   n e w   v o c a b u l a r y .   A n y   w o r d   t h a t   c o m e s   f r o m   b e y o n d   t h e i r   f a m i l y   a b o d e   i s   i n s t a n t l y   a s s i g n e d   a   n e w   m e a n i n g .   H e n c e   ' t h e   s e a '   r e f e r s   t o   a   l a r g e   a r m c h a i r   a n d   ' z o m b i e s '   a r e   l i t t l e   y e l l o w   f l o w e r s .   H a v i n g   i n v e n t e d   a   b r o t h e r   w h o m   t h e y   c l a i m   t o   h a v e   o s t r a c i z e d   f o r   h i s   d i s o b e d i e n c e ,   t h e   u b e r - c o n t r o l l i n g   p a r e n t s   t e r r o r i z e   t h e i r   o f f s p r i n g   i n t o   s u b m i s s i o n . 2009",2009,6.9
Tupac: Resurrection,"Music Documentaryrapmusic hip-hop blunt womandirectorH o m e   m o v i e s ,   p h o t o g r a p h s ,   a n d   r e c i t e d   p o e t r y   i l l u s t r a t e   t h e   l i f e   o f   T u p a c   S h a k u r ,   o n e   o f   t h e   m o s t   b e l o v e d ,   r e v o l u t i o n a r y ,   a n d   v o l a t i l e   h i p - h o p   M C s   o f   a l l   t i m e . 2003",2003,8.0
Pieces of April,"Comedy Dramasex thanksgiving roadtrip love independentfilm neighbor marijuana family illnessQ u i r k y   a n d   r e b e l l i o u s   A p r i l   B u r n s   l i v e s   w i t h   h e r   b o y f r i e n d   i n   a   l o w - r e n t   N e w   Y o r k   C i t y   a p a r t m e n t   m i l e s   a w a y   f r o m   h e r   e m o t i o n a l l y   d i s t a n t   f a m i l y .   B u t   w h e n   s h e   d i s c o v e r s   t h a t   h e r   m o t h e r   h a s   a   f a t a l   f o r m   o f   b r e a s t   c a n c e r ,   s h e   i n v i t e s   t h e   c l a n   t o   h e r   p l a c e   f o r   T h a n k s g i v i n g .   W h i l e   h e r   f a t h e r   s t r u g g l e s   t o   d r i v e   h e r   f a m i l y   i n t o   t h e   c i t y ,   A p r i l   - -   a n   i n e x p e r i e n c e d   c o o k   - -   r u n s   i n t o   k i t c h e n   t r o u b l e   a n d   m u s t   a s k   a   n e i g h b o r   f o r   h e l p . 2003",2003,6.4
Some Guy Who Kills People,"Comedy Horror ThrillerA   f o r m e r   m e n t a l   p a t i e n t ' s   r e p r e s s e d   a n g e r   r e a c h e s   t h e   b o i l i n g   p o i n t ,   l e a d i n g   h i m   t o   e m b a r k   o n   a   m i s s i o n   o f   r e v e n g e   a g a i n s t   t h e   t h u g s   w h o   o n c e   s u b j e c t e d   h i m   t o   s e v e r e   p h y s i c a l   a n d   m e n t a l   t r a u m a . 2011",2011,5.7
Compliance,"Drama Thriller CrimeS a n d r a   i s   t h e   m a n a g e r   a t   a   f a s t - f o o d   r e s t a u r a n t ,   a n d   B e c k y   i s   h e r   t e e n a g e d   c o u n t e r   g i r l   w h o   r e a l l y   n e e d s   t h e   j o b .   O n e   s t r e s s f u l   d a y ,   a   p o l i c e   o f f i c e r   t e l e p h o n e s   a n d   a c c u s e s   B e c k y   o f   s t e a l i n g   m o n e y   f r o m   a   c u s t o m e r ’ s   p u r s e ,   w h i c h   B e c k y   v e h e m e n t l y   d e n i e s .   S a n d r a ,   o v e r w h e l m e d   b y   h e r   m a n a g e r i a l   r e s p o n s i b i l i t i e s ,   c o m p l i e s   w i t h   t h e   o f f i c e r ’ s   o r d e r s   t o   d e t a i n   B e c k y ,   b e g i n n i n g   a   n i g h t m a r e   t h a t   t r a g i c a l l y   b l u r s   t h e   l i n e s   b e t w e e n   e x p e d i e n c e ,   p r u d e n c e ,   l e g a l i t y   a n d   r e a s o n . 2012",2012,6.3
